#EVENT ID#			#EVENT EFFECT#

#####################
#	FOLDER:	ACW		#
#####################

id = 16000			Starts US civilwar
id = 16001			Sets Slavery debate country modifier
id = 16010			More consciousness and militancy
id = 16020			More consciousness and militancy
id = 16030 			More consciousness
id = 16040 			More consciousness
id = 16050 			More consciousness
id = 16060 			More consciousness
id = 16070 			More consciousness
id = 16080 			More consciousness
id = 16090 			More consciousness
id = 16100 			More consciousness or militancy
id = 16110 			More consciousness
id = 16120 			More consciousness
id = 16130 			More consciousness
id = 16140 			More consciousness or the underground_railroad province modifier
id = 16150 			More consciousness or the copperhead_democrats province modifier
id = 16160 			More consciousness
id = 16170 			More consciousness
id = 16180 			More consciousness or the free_stater province modifier
id = 16190 			More consciousness or the border_ruffians province modifier
id = 16200 			More consciousness and -5% State population hit
id = 16210			-5% State population hit
id = 16220 			More consciousness
id = 16230 			-2% State population hit
id = 16240 			-2% State population hit
id = 16250 			More militancy and yes_slavery political support 
id = 16300 			More consciousness and no_slavery political support 
id = 16310 			More consciousness and no_slavery political support 
id = 16400 			?American minors apply for statehood? annex event triggering nation ?redundancy?
id = 16410 			Removes country modifier anaconda_plan under given conditions 
id = 16410 			More consciousness and militancy
id = 16420 			More militancy
id = 16425 			More consciousness and militancy
id = 16430 			Less consciousness and militancy and -50% population hit for dakota culture pop 
id = 16440 			More militancy and -50% population hit for non native american culture pop in State
id = 16445 			More militancy and the apache_raiders province modifier
id = 16450 			Less consciousness and militancy and -20% population hit for Native american culture pop 
id = 16451 			Adds a punch of goods to Texas stockpile (at game start)

#################################
#	FOLDER:	Apocalypse 1836		#
#################################

id = 999901  		Starts Event 999902 in 4 random countries
id = 999902 		Adds zombie_outbreak province modifier in 3 random provinces and triggeres event 999918
id = 999903  		Less consciousness more militancy and adds zombie_outbreak modifier to random port province in Europe
id = 999904  		Less consciousness more militancy and adds zombie_outbreak modifier to random port province in Africa
id = 999905  		Less consciousness more militancy and adds zombie_outbreak modifier to random port province in the Americas
id = 999906  		Less consciousness more militancy and adds zombie_outbreak modifier to random port province in Asia or Oceania
